title; text; crap; lines; author
God;  god is a concept by which we measure our pain i'll say it again god is a concept by which we measure our pain i don't believe in magic i don't believe in iching i don't believe in bible i don't believe in tarot i don't believe in hitler i don't believe in jesus i don't believe in kennedy i don't believe in buddha i don't believe in mantra i don't believe in gita i don't believe in yoga i don't believe in kings i don't believe in elvis i don't believe in zimmerman i don't believe in beatles i just believe in meand that reality the dream is over what can i say the dream is over yesterday i was the dreamweaver but now i'm reborn i was the walrus but now i'm john and so dear friends you'll just have to carry on the dream is over ;0;31;1
Going Down On Love;  got to get down down on my knees got to get down down on my knees going down on love going down on love going down going down going down when the real thing goes wrong and you can't get it on and your love she has gone and you got to carry on and you shoot out the light ain't coming home for the night you know you got to got to got to pay the price somebody please please help me you know i'm drowning in the sea of hatred got to get down down on my knees got to get down down on my knees going down on love going down on love going down going down going down something precious and rare disappears in thin air and it seems so unfair nothing doin' nowhere well you burn all your boats and you sow your wild oats well you know you know you know the price is right got to get down down on my knees got to get down down on my knees got to get down down on my knees got to get down down on my knees ;0;29;1
Goodnight Tonight;  don't get too tired for love don't let it end don't say goodnight to love it may never be the same again don't say it don't say it say anything but don't say goodnight tonight don't say it don't say it say anything but don't say goodnight tonight don't say it don't say it you can say anything but don't say goodnight tonight don't say it don't say it say anything but don't say goodnight tonight don't say it don't say it say anything but don't say goodnight tonight don't get too tired for love don't let it end don't say goodnight to love it's a feeling that may never end don't say it don't say it say anything but don't say goodnight tonight don't say it don't say it say anything but don't say goodnight tonight don't say it don't say it you can say anything but don't say goodnight tonight ;0;31;0
Grow Old With Me;  grow old along with me the best is yet to be when our time has come we will be as one god bless our love god bless our love grow old along with me two branches of one tree face the setting sun when the day is done god bless our love god bless our love spending our lives together man and wife together world without end world without end grow old along with me whatever fate decrees we will see it through for our love is true god bless our love god bless our love ;0;21;1
Happy Xmas (War Is Over);  (happy xmas kyoko happy xmas julian) so this is xmas and what have you done another year over and a new one just begun and so this is xmas i hope you have fun the near and the dear one the old and the young a very merry xmas and a happy new year let's hope it's a good one without any fear and so this is xmas (war is over) for weak and for strong (if you want it) for rich and the poor ones (war is over) the world is so wrong (if you want it) and so happy xmas (war is over) for black and for white (if you want it) for yellow and red ones (war is over) let's stop all the fight (now) a very merry xmas and a happy new year let's hope it's a good one without any fear and so this is xmas (war is over) and what have we done (if you want it) another year over (war is over) a new one just begun (if you want it) and so happy xmas (war is over) we hope you have fun (if you want it) the near and the dear one (war is over) the old and the young (now) a very merry xmas and a happy new year let's hope it's a good one without any fear war is over if you want it war is over now happy xmas ;0;40;1
Hard Times Are Over;  it's been very hard but it's getting easier now hard times are over over for a while the leaves are shining in the sun and smiling inside you and i watching each other on a street corner cars and buses and planes and people go by but we don't care we want to know we want to know in each other's eyes that hard times are over over for sometime hard times are over hard times are over hard times are over over for a while it's been very rough but it's getting easier now hard times are over over for a while the streams are twinkling in the sun and i'm smiling inside you and i walking together 'round the street corner hard times are over hard times are over hard times are over over for a while ;0;22;1
Heart Of The Country;  i look high i look low i'm lookin' ev'rywhere i go lookin' for a home in the heart of the country i'm gonna move i'm gonna go i'm gonna tell ev'ryone i know lookin' for a home in the heart of the country heart of the country where the holy people grow heart of the country smell the grass in the meadow wo wo wo want a horse i want a sheep i wanna get me a good night's sleep livin' in a home in the heart of the country i'm gonna move i'm gonna go i'm gonna tell ev'ryone i know livin' in a home in the heart of the country heart of the country where the holy people grow heart of the country smell the grass in the meadow wo wo wo want a horse i got a sheep i'm gonna get me a good night's sleep livin' in a home in the heart of the country i'm gonna move i'm gonna go gonna tell ev'ryone i know oooooo in the heart of the country heart of the country where the holy people grow heart of the country smell the grass in the meadow wo wo wo ;1;26;0
Helen Wheels;  said farewell to my last hotel it never was much kind of abode glasgow town never brought me down when i was heading out on the road carlisle city never looked so pretty and the kendal freeway is fast slow down driver wanna stay alive i wanna make this journey last helen (helen) hell on wheels ain't nobody else gonna know the way she feels helen (helen) hell on wheels and they never gonna take her away m6 south down liverpool where they play the west coast sound sailor sam he came from birmingham but he never will be found doin' fine when a london sign grees me like a long lost friend mister motor won't you check her out she's gotta take me back again helen (helen) hell on wheels ain't nobody else gonna know the way she feels helen (helen) hell on wheels and they never gonna take her away got no time for a rum and lime i wanna get my right foot down shake some dust off of this old bus i gotta get her out of town spend the day upon the motorway where the carburettors blast slow down driver wanna stay alive i wanna make this journey last helen (helen) hell on wheels ain't nobody else gonna know the way she feels helen (helen) hell on wheels and they never gonna take her away say byebyefade out ;0;24;0
Help!;  help i need somebody help not just anybody help you know i need someone help when i was younger so much younger than today i never needed anybody's help in any way but now these days are gone i'm not so self assured now i find i've changed my mind and opened up the doors help me if you can i'm feeling down and i do appreciate you being round help me get my feet back on the ground won't you please please help me and now my life has changed in oh so many ways my independence seems to vanish in the haze but every now and then i feel so insecure i know that i just need you like i've never done before help me if you can i'm feeling down and i do appreciate you being round help me get my feet back on the ground won't you please please help me when i was younger so much younger than today i never needed anybody's help in any way but now these daya are gone i'm not so self assured now i find i've changed my mind and opened up the doors help me if you can i'm feeling down and i do appreciate you being round help me get my feet back on the ground won't you please please help me help me help me oh ;0;26;1
Hi, Hi, Hi;  well when i met you at the station you were standing with a bootleg in your hand i took you back to my little place for a taste of a multicoloured band we're gonna get hi hi hi the night is young she'll be my funky little mama gonna rock it and we've only just begun we're gonna get hi hi hi with the music on won't say byebye byebye byebye byebye 'til the night is gone i'm gonna do it to you gonna do it sweet banana you'll never give up we're gettin' hi hi hi in the midday sun well well take off your face recover from the trip you've been on i want to lie on the bed get you ready for my polygon i'm gonna do it to you gonna do it sweet banana you've never been done yes i go like a rabbit gonna grab it gonna do it 'til the night is done we're gonna get hi hi hi with the music on won't say byebye byebye byebye byebye 'til the night is gone i'm gonna do it to you gonna do it sweet banana you'll never give up we're gonna get hi hi hi we're gonna get hi hi hi we're gonna get hi hi hi in the midday sun ;0;29;0
Hold On;  hold on john  john hold on it's gonna be alright you gonna win the fight hold on yoko  yoko hold on it's gonna be alright you gonna make the flight when you'r by yourself and there's noone else you just tell yourself to hold on hold on world  world hold on it's gonna be alright you gonna see the light when you're one really one you get things done like they've never been done so hold on ;0;17;1
How Do You Sleep?;  so sgt pepper took you by surprise you better see right through that mother's eyes those freaks was right when they said you was you was dead the one mistake you made was in your head how do you sleep ah how do you sleep at night you live with straights who tell you you was king jum when your mamma tell you anything the only thing you done was yesterday and since you've gone it's just another day how do you sleep ah how do you sleep at night a pretty face may last a year or two but pretty soon they'll see what you can do the sound you make is muzak to my ears you must have learned something all those years how do you sleep ah how do you sleep at night ;0;29;1
How?;  how can i go forward when i don't know which way i'm facing how can i go forward when i don't know which way to turn how can i go forward into something i'm not sure of oh no oh no how can i have feeling when i don't know if it's a feeling how can i feel something if i just don't know how to feel how can i have feelings when my feelings have always been denied oh no oh no how can i give love when i don't know what it is i'm giving how can i give love when i just don't know how to give how can i give love when love is something i ain't never had oh no oh no you know life can be long and you got to be strong and the world is so tough sometimes i feel i've had enough oh no oh no how can we go forward when i don't know which way we're facing how can we go forward when we don't know which way to turn how can we go forward into something we're not sure of oh no oh no ;1;37;1
I Am Your Singer;  you are my love you are my song liger on you are my song i am your singer you are my one you are my own melody you are my song i am your singer someday when we're singing we will fly away going winging sing singing my love song to you my song is sung when day is done harmonies willinger on i am your singer i am your singer singing my love song to you ;0;11;0
'I Don't Wanna Face It;  say you're looking for a place to go where nobody knows your name you're looking for oblivion with one eye on the hall of fame i don't wanna face it oh no i don't wanna face it no no no no well i can dish it out but i just can't take it say you're looking for some peace and love leader of a big old band you wanna save humanity but it's people that you just can't stand i don't wanna face it oh no i don't wanna face it no no no no well i can sing for my supper but i just can't make it well now you're lookin' for a world of truth trying to find a better way the time has come to see yourself you always look the other way i don't wanna face it oh no i don't wanna face it no no no no well i can see the promised land and i know i can make it i don't wanna face it i know i don't wanna face it oh no i don't wanna face it oh no i don't wanna face it i don't wanna face it i just can't face it no more every time i look in the mirror i don't see anybody there ;0;32;1
I Don`t Want To Be A Soldier;  well i don't wanna be a soldier mama i don't wanna die well i don't wanna be a sailor mama i don't wanna fly well i don't wanna be a failure mama i don't wanna cry well i don't wanna be a soldier mama i don't wanna die oh no oh no oh no oh no well i don't wanna be a rich man mama i don't wanna cry well i don't wanna be a poor man mama i don't wanna fly well i don't wanna be a lawyer mama i don't wanna lie well i don't wanna be a soldier mama i don't wanna die oh no oh no oh no oh no oh no oh no well i don't wanna be a beggar mama i don't wanna die well i don't wanna be a thief now mama i don't wanna fly well i don't wanna be a churchman mama i don't wanna cry well i don't wanna be a soldier mama i don't wanna die oh no oh no oh no oh no ;1;39;1
I Found Out;  i told you before stay away from my door don't give me that brother brother brother brother the freaks on the phone won't leave me alone so don't give me that brother brother brother brother no  i i found out i i found out  now that i showed you what i been through don't take nobody's word what you can do there ain't no jesus gonna come from the sky  now that i found out i know i can cry  i i found out i i found out  some of you sitting there with your cock in your hand don't get you nowhere don't make you a man i heard something 'bout my ma and my pa they didn't want me so they made me a star  i i found out i i found out  old hare krishna got nothing on you just keep you crazy with nothing to do keep you occupied with pie in the sky there ain't no guru who can see through your eyes  i i found out i i found out  i seen through junkies i been through it all i seen religion from jesus to paul don't let them fool you with dope and cocaine  no one can harm you feel your own pain  i i found out i i found this out i i found out  ;0;30;1
I Know (I Know);  the years have passed so quickly one thing i've understood i am only learning to tell the trees from wood i know what's coming down and i know where it's coming from and i know and i'm sorry (yes i am) but i never could speak my mind and i know just how you feel and i know now what i have done and i know and i'm guilty but i never could speak my mind i know what i was missing but now my eyes can see i put myself in your place as you did for me today i love you more than yesterday right now i love you more right now now i know what's coming down i can feel where it's coming from and i know it's getting better all the time as we share in each other's minds ;0;21;1
'I'm Carrying;  by dawn's first light i'll come back to your room again with my carnation hidden by the packages i'm carrying something i'm carrying something for you ah long time no see baby sure has been a while and if my reappearance lacks a sense of style i'm carrying something i'm carrying something for you i'm carrying i'm carrying can't help it i'm carrying i'm carrying something for you ;0;11;0
'I'm Losing You;  here in some stranger's room late in the afternoon what am i doing here at all ain't no doubt about it i'm losing you somehow the wires have crossed communication's lost can't even get you on the telephone just got to shout about it i'm losing you here in the valley of indecision i don't know what to do i feel you sliping away i feel you sliping away i'm losing you i'm losing you you say your not getting enough but i remind you of all that bad stuff so waht the hell am i supposed to do just put a bandaid on it and stop the bleeding now stop the bleeding now i know i hurt you then but that was way back when and well do you still have to carrey that cross don't want to hear about it i'm losing you i'm losing you ;0;27;1
'I'm Moving On;  save your sweet talk for when you score keep your monday kisses for your glass lady i want the truth and nothing more i'm moving on moving on you're getting phony you didn't have to tell a white lie you know you scored me for life don't stick your fingers in my pie you know i'll see through your jive i want the truth and nothing more i'm moving on moving on you're getting phony when you were angry you had love in your eyes when you were sad you had a dream in your voice but now your giving me your window smile i'm moving on moving on you're getting phony ;0;13;1
'I'm Stepping Out;  woke up this morning blues around my head no need to ask the reason why went to the kitchen and lit a cigarette blew my worries to the sky i'm stepping out i'm stepping out i'm stepping out i'm stepping out if it don't feel right you don't have to do it just leave a message on the phone and tell them to screw it after all is said and done you can't go pleasin' everyone so screw it i'm stepping out i'm stepping out i'm stepping out baby i'm stepping out baby's sleeping the cats have all been blessed ain't nothing doing on tv (summer repeats) put on my space suit i got to look my best i'm going out to do the city i'm stepping out i'm stepping out i'm stepping out babe i'm stepping out (boogie) i'm stepping out (hold it down) i'm stepping out i'm stepping out gotta gotta gotta gotta get out i'm stepping out babe just awhile ain't been out for days ;0;30;1
'I've Had Enough;  you're talking to me from the back of my car and i can't get nothing right and then you wonder why stand at the bar day and night chorus i've had enough i can't put up with any more no no no no no no no i've had enough i can't put up with any more no no no no no no no you stand behind me with a watch in your hand and i can't get nothing done well people tell me you're punctual man but come on chorus i earn the money and you take it away when i don't know where you're from i should be worried but they say it'll pay for a bomb chorus i've had enough baby you know sometimes you get a little weary but if it ever happens honey you just come along to me because you know chorus ;0;26;0
'I've Just Seen A Face;  i've just seen a face i can't forget the time or place where we just meet she's just the girl for me and want all the world to see we've met mmmmmmmmmm'mmmmmm had it been another day i might have looked the other way and i'd have never been aware but as it is i'll dream of her tonight didididi'n'di falling yes i am falling and she keeps calling me back again i have never known the like of this i've been alone and i have missed things and kept out of sight but other girls were never quite like this dadan'dada'n'da falling yes i am falling and she keeps calling me back again falling yes i am falling and she keeps calling me back again i've just seen a face i can't forget the time or place where we just meet she's just the girl for me and want all the world to see we've met mmmmmmmmmdadada falling yes i am falling and she keeps calling me back again falling yes i am falling and she keeps calling me back again oh falling yes i am falling and she keeps calling me back again ;1;40;0
Imagine;  imagine there's no heaven it's easy if you try no hell below us above us only sky imagine all the people living for today imagine there's no countries it isn't hard to do nothing to kill or die for and no religion too imagine all the people living life in peace you may say i'm a dreamer but i'm not the only one i hope someday you'll join us and the world will be as one imagine no possessions i wonder if you can no need for greed or hunger a brotherhood of man imagine all the people sharing all the world you may say i'm a dreamer but i'm not the only one i hope someday you'll join us and the world will live as one ;0;25;1
In My Life;  there are places i'll remember all my life though some have changed some forever not for better some have gone and some remain all these places have their moments with lovers and friends i still can recall some are dead and some are living in my life i've loved them all but of all these friends and lovers there is no one compares with you and these memories lose their meaning when i think of love as something new though i know i'll never lose affection for people and things that went before i know i'll often stop and think about them in my life i love you more though i know i'll never lose affection for people and things that went before i know i'll often stop and think about them in my life i love you more in my life i love you more ;0;20;1
Instant Karma (We All Shine On);  instant karma's gonna get you gonna knock you right on the head you better get yourself together pretty soon you're gonna be dead what in the world you thinking of laughing in the face of love what on earth you tryin' to do it's up to you yeah you instant karma's gonna get you gonna look you right in the face better get yourself together darlin' join the human race how in the world you gonna see laughin' at fools like me who in the hell d'you think you are a super star well right you are well we all shine on like the moon and the stars and the sun well we all shine on ev'ryone come on instant karma's gonna get you gonna knock you off your feet better recognize your brothers ev'ryone you meet why in the world are we here surely not to live in pain and fear why on earth are you there when you're ev'rywhere come and get your share well we all shine on like the moon and the stars and the sun yeah we all shine on come on and on and on on on yeah yeah alright uh huh ah well we all shine on like the moon and the stars and the sun yeah we all shine on on and on and on on and on well we all shine on like the moon and the stars and the sun well we all shine on like the moon and the stars and the sun well we all shine on like the moon and the stars and the sun yeah we all shine on like the moon and the stars and the sun ;2;46;1
Intuition;  my intentions are good i use my intuition it takes me for a ride but i never understood other people's superstition it seemed like suicide and as i play the game of life i try to make it better each and every day and when i struggle in the night the magic of the music seems to light the way intuition takes me there intuition takes me everywhere well my instincts are fine i had to learn to use them in order to survive and time after time confirmed an old suspicion it's good to be alive and when i'm deep down and out and lose communication with nothing left to say it's then i realize it's only a condition of seeing things that way intuition takes me there intuition takes me everywhere ;0;19;1
Isolation;  people say we got it made don't they know we're so afriad we're afraid to be alone everbody got to have a home isolation just a boy and a little girl trying to change the whole wide world isolation all the world is a little town everybody trying to put us down isolation i don't expect you to understand after you caused so much pain but the again you're not to blame your just a human a victim of the insane we're afrain of everyone afraid of the sun isolation the sun will never disappear but the world my not have many years isolation ;0;17;1
'It's So Hard;  you got to live you got to love you got to be somebody you got to shove but it's so hard it's really hard sometimes i feel like going down you got to eat you got to drink you got to feel something you got to worry it's so hard it's really hard sometimes i feel like going down but when it's good it's oh so good and when i hold you in arms baby sometimes i feel like going down you got to run you got to hide you got to keep your woman satisfied but it's so hard it's really hard sometimes i feel like going down ;0;25;1
Jealous Guy;  i was dreaming of the past and my heart was beating fast i began to lose control i began to lose control i didn't mean to hurt you  i'm sorry that i made you cry oh my i didn't want to hurt you i'm just a jealous guy i was feeling insecure you might not love me anymore i was shivering inside i was shivering inside oh i didn't mean to hurt you i'm sorry that i made you cry oh my i didn't want to hurt you  i'm just a jealous guy i didn't mean to hurt you  i'm sorry that i made you cry oh my i didn't want to hurt you i'm just a jealous guy i was trying to catch your eyes i thought that you were trying to hide  i was swallowing my pain i was swallowing my pain i didn't mean to hurt you  i'm sorry that i made you cry oh my i didn't want to hurt you  i'm just a jealous guy watch out baby i'm just a jealous guy look out baby i'm just a jealous guy ;0;30;1
Jet;  jet i can almost remember their funny faces that time you told me that you were going to be marrying soon and jet i thought the only lonely place was on the moon jet jet jet was your father as bold as a sergeant major how come he told you that you were hardly old enough yet and jet i thought the major was a lady suffragette jet jet ah matter want jet to always love me ah matter want jet to always love me ah matter much later jet with the wind in your hair of a thousand laces climb on the back and we'll go for a ride in the sky and jet i thought the major was a lady suffragette jet jet ;0;20;0
John Sinclair;  it ain't fair john sinclair in the stir of breathing air won't you care for john sinclair in the stair of breathing air let him be set him free let him be like you and me they give him ten for two what else can the judges do gotta gottagotta set him free if he had been a soldier man shooting gooks in vietnam if he was the cia selling dope and making hay he'd be free they'd let him be breatthing air like you and me they gave me ten for two what more can the judges do gotta gottagottta set him freee was he jailed for what he done representing everyone free john now if we can from the clutches oof the man let him free lift the lid bring him to his wife and kids they gave me ten for two what more can the bastards do gotta gottagotta set him free ;0;26;1
Julia;  half of what i say is meaningless but i say it just to reach you julia julia julia oceanchild calls me so i sing a song of love julia julia seashell eyes windy smile calls me so i sing a song of love julia her hair of floating sky is shimmering glimmering in the sun julia julia morning moon touch me so i sing a song of love julia when i cannot sing my heart i can only speak my mind julia julia sleeping sand silent cloud touch me so i sing a song of love julia hum hum hum humcalls me so i sing a song of love for julia julia julia ;0;15;1
'Junior's Farm;  you should have seen me with the pocker man i had a honey and i bet a grand just in the nick of time i looked at his hand i was talking to an eskimo said he was hopping for a fall of snow when up popped a sea lion ready to go let's go let's go let's go let's go down to junior's farm where i want to lay low low life high life oh let's go take me down to junior's farm at the houses of parliament ev'rybody's talking 'bout the president we all chip in for a bag of cement olly hardy should have had more sense he bought a geegee and he jumped the fence all for the sake of a couple of pence i took my bag into a grocer's store the price is higher than the time before old man asked me why is it more i said you should have seen me with the poker man i had a honey and i bet a grand just in the nick of time i looked at his hand let's go let's go let's go let's go down to junior's farm where i want to lay low low life high life oh let's go take me down to junior's farm let's go let's go down to junior's farm where i want to lay low low life high life oh let's go take me down to junior's farm ev'rybody tag along take me down to junior's farm ;0;30;0
Junk;  motor cars handle bars bicycles for two broken hearted jubilee parachutes army boots sleeping bags for two sentimental jamboree buy buy says the sign in the shop window why why says the junk in the yard da da ya da da da da da da da da ya da da da da da da da da da candlesticks building bricks something old and new memories for you and me buy buy says the sign in the shop window why why says the junk in the yard ;1;20;0
Kiss Kiss Kiss;  kiss kiss kiss kiss me love just one kiss kiss will do kiss kiss kiss kiss me love just one kiss kiss will do why death why life warm hearts cold darts kiss kiss kiss kiss me love i'm bleeding inside it's a long long story to tell and i can only show my hell touch touch touch touch me love just one touch touch will do touch touch touch touch me love just one touch touch will do why me why you broken mirror white terror touch touch touch touch me love i'm shaking inside it's that faint faint sound of the childhood bell ringing in my soul kiss kiss kiss kiss me love just one kiss kiss will do ;0;25;1
Lady Madonna;  lady madonna children at your feet wonder how you manage to make ends meet who finds the money when you pay the rent did you think that money was heaven sent friday night arrives without a suitcase sunday morning creep in like a nun monday's child has learned to tie his bootlace see how they run lady madonna baby at your breast wonder how you manage to feed the rest see how they run lady madonna lying on the bed listen to the music playing in your head tuesday afternoon is never ending wednesday morning papers didn't come thursday night you stockings needed mending see how they run lady madonna children at your feet wonder how you manage to make ends meet ;0;18;0
'Let 'Em In;  someone's knockin' at the door somebody's ringin' the bell someone's knockin' at the door somebody's ririgin' the bell do me a favor open the door and let 'em in sister suzie brother john martin luther phil and don brother michael auntie gin open the door and let 'em in someone's knockin' at the door somebody's ringin' the bell someone's knockin' at the door somebody's ringin' the bell do me a favor open the door and let 'em in ;0;15;0
Let Me Count The Ways;  let me count the ways how i love you it's like that gentle wind you feel at dawn it's like that first sun that hits the dew it's like that cloud with a gold lining telling us softly that it'll be a good day a good day for us thank you thank you thank you let me count the ways how i miss you it's like that oak tree in my childhood garden it's like that first summer i spent in egypt it's like that warm evening you read to me both knowing deeply that it's a good time a good time for us thank you thank you thank you let me count the ways how i see you it's like that lake in the mountain you heard about it's like that autumn sky that stays so blue it's like that air around me that holds me gently whispering strongly that you're always there always for me thank you thank you thank you ;0;18;1
Let Me Roll It;  you gave me something i understand you gave me loving in the palm of my hand i can't tell you how i feel my heart is like a wheel let me roll it let me roll it to you let me roll it let me toll it to you i want to tell you and now's the time i want to tell you that you're going to be mine i can't tell you how i feel my heart is like a wheel let me roll it let me roll it to you let me roll it let me roll it to you ;0;17;0
Letting Go;  ah she tastes like wine such a human being so divine oh she feels like sun mother nature look at what you're done oh i feel like letting go oh i feel like letting go ah she looks like snow i want to put her in a broadway show ah she'll dance and dine like a lucifer she'll always shine oh i feel like letting go oh i feel like letting go oh i feel like letting go ah she sings it so i want to put her on the radio one day and there you are ladies and gentleman  a brand new star oh i feel like letting go oh i feel like letting go ;0;19;0
Listen To What The Man Said;  any time any day you can hear the people say but he wont mind well i don't know but i say love is kind soldier boy kisses girl leaves behind a tragic world but he wont mind he's in love and he says love is fine oh  yes indeed we know that people will find a way to go no matter what the man said and love is fine for all we know for all we know our love will grow  that's what the man said so won't you listen to what the man said he said      oh  yes indeed we know that people will find a way to go    oh  yes indeed we know that people will find a way to go    etc etc the wonder of it all baby      the wonder of it all baby      the wonder of it all baby      ;0;23;0
Little Woman Love;  i got a little woman i can really love my woman fit me like a little glove you know i'll always love my little woman love i take her home most ev'ry night my woman love to hold me tight you know i feel alright my little woman mine oh yeah oh yeah oh oh oh oh oh oh oh yeah oh yeah oh oh oh oh oh oh i take her home most ev'ry night my woman love to hold me tight you know i feel alright my little woman mine ;2;15;0
Live And Let Die;  when you were young and your heart was an open book you used to say live and let live (you know you did you know you did you know you did) but in this ever changing world in which we live in makes you give in and cry say live and let die live and let die live and let die live and let die what does it matter to ya when you got a job to do you gotta do it well you gotta give the other fellow hell when you were young and your heart was an open book you used to say live and let live (you know you did you know you did you know you did) but in this ever changing world in which we live in makes you give in and cry ;0;17;0
London Town;  walking down the sidewalk one purple afternoon i was accosted by a barker playing a simple tune upon his flute toottoottoottoot silver rain was falling down upon the dirty ground of london town people pass me by on my imaginary street ordinary people it's impossible to meet holding conversations that are always incomplete well i don't know oh where are there places to go someone somewhere has to know i'don't know out of work againthe actor entertains his wife with the same old stories of his ordinary life maybe he exaggerates the trouble and the strife well i don't know oh where are there places to go someone somewhere has to know crawling down the pavement on a sunday afternoon i was arrested by a rozzer wearing a pink balloon about his foot toot toot toot toot silver rain was falling down upon the dirty ground of london town someone somewhere has to know silver rain was falling down upon the dirty ground of london town ;0;26;0
Look At Me;  look at me what am i supposed to be what am i supposed to be look at me what am i supposed to be what am i supposed to be look at me oh my love oh my love here i am what am i supposed to do what am i supposed to do here i am what can i do for you what can i do for you here i am oh my love oh my love look at meoh please look at memy love here i amoh my love who am i nobody knows but me nobody knows but me who am i nobody else can see just you and me who are we oh my love oh my love ;0;25;1
Love;  love is real  real is love love is feeling  feeling love love is wanting to be loved love is touch touch is love love is reaching reaching love love is asking to be loved love is you you and me love is knowing we can be love is free free is love love is living living love love is needed to be loved ;0;12;1
Love In Song;  my heart cries out for love and all that goes with loving love in song  love in song my you're so fine when love is mine i can't go wrong love in song  love in song i can see the places that we used to go to now happiness in the homeland happiness in the homeland my eye cries out a tear still born misunderstanding love in song  love in song i can see the places that we used to go to now happiness in the homeland happiness in the homeland my you're so fine when love is mine i can't go wrong love in song  love in song  love in song ;0;22;0
Love Is Strange;  baby love is strange many many people take it for a game my sweet baby love is strange yeah yeah many many people take it for a game yeah yeah love is strange love is strange yeah yeah many many people take it for a game yeah yeah love is strange love is strange many people they don't understand they think that having love is like having money in the hand my sweet baby love is strange many many people seem to take it for a game la la la la love is strange la la la la love is strange ;2;20;0
Magneto And Titanium Man;  well i was talking last night magneto and titanium man    we were talking about you babe oo  they said  you were involved in a robbery that was due to happen at a quarter to three in the main street i didn't believe them magneto and titanium man    but when the crimson dynamo finally assured me well i knew you were involved in a robbery that was due to happen at a quarter to three in the main street so we went out magneto and titanium man    and the crimson dynamo came along for the ride we went to town with the library and we swung all over that long tall bank in the main street well there she were and to my despair she's a fivestar criminal breaking the code magneto said now the time come to gather our forces and run oh no       this can't be so       and then it occurred to me you couldn't be bad magneto was mad titanium too and the crimson dynamo just couldn't cut it no more you were the law       ;0;36;0
'Mama's Little Girl;  looking like a rag doll mama's little girl singing like a skylark mama's little girl better give me some time for this heart of mine cause i just can't take it all in still i will remember mama's little girl ohhhh mama's little girl little girl mama's little girl little girl looking like a rosebud mama's little girl pickin' up a mountain mama's little girl better give me some time for this heart of mine cause i just can't take it all in still we will remember mama's little girl ohhhh mama's little girl little girl mama's little girl looking like a rag doll singing like a skylark growing like a rosebud pickin' up a mountain mama's little girl mama's little girl better give me some time for this heart of mine cause i just can't take it all in still i will remember mama's little girl still we will remember mama's little girl still we will remember mama's little girl ohhhh mama's little girl little girl mama's little girl little girl mama's little girl ;0;36;0
Mamunia;  mamunia mamunia mamunia oh oh oh mamunia mamunia oh oh oh oh the rain comes falling from the sky to fill the stream that fills the sea and that's where life began for you and me so the next time you see rain it ain't bad don't complain it rains for you the next time you see la rainclouds don't complain it rains for you and me mamunia it might have been a bright blue day but rainclouds had to come this way they're watering everything that they can see a seed is waiting in the earth for rain to come and give him free so the next time you see la rainclouds don't complain it rains for you so lay down your umbrellas strip off your plastic macs you've never felt the rain my friend till you've felt it running down your back so the next time you see rain it ain't bad don't complain it rains for you the next time you see la rainclouds don't complain it rains for you and me mamunia ;1;26;0
Man We Was Lonely;  man we was lonely yes we was lonely and we was hard pressed to find a smile man we was lonely yes we was lonely but now we're fine all the while i used to ride on my fast city line singing songs that i thought were mine alone alone now let me lie with my love for the time i am home  home home man we was lonely yes we was lonely and we was hard pressed to find a smile man we was lonely yes we was lonely but now we're fine all the while now let me lie with my love for the time i am home home home man we was lonely yes we was lonely and we was hard pressed to find a smile man we was lonely yes we was lonely but now we're fine all the while but now we're fine all the while but now we're fine all the while ;0;25;0
Mary Had A Little Lamb;  mary had a little lamb his fleece was white as snow ev'rywhere that mary went that lamb was sur to go and you could hear them singing: la la la la la la la la la la la la la la la la la la la la he followed her to school one day it was against the rules made the children laugh and play to see a lamb at school you could hear them singing: la la la la la la la la la la la la la la la la la la la la soon the teacher turned it out still it lingered near waited patiently about till mary did appear you could hear them singing: la la la la la la la la la la la la la la la la la la la la but the lamb loved mary so the eager children cry and mary loves the lamb you know the teacher did reply and you could hear them singing: la la la la la la la la la la (ev'ry body singing) la la la la la la la la la la ;1;28;0
'Maybe I'm Amazed;  baby i'm amazed at the way you love me all the time and maybe i'm afraid of the way i leave you maybe i'm amazed at the way you pulled me out of time you hung me on the line maybe i'm amazed at the way i really need you baby i'm a man maybe i'm a lonely man who's in the middle of something that he doesn't really understand baby i'm a man and maybe you're the only woman who could ever help me baby won't you help me to understand oohoohoohoohoohooh oh yeah yeah yeah yeah oh oh oh oh oh oh oh oh baby i'm a man maybe i'm a lonely man who's in the middle of something that he doesn't really understand baby i'm a man and maybe you're the only woman who could ever help me baby won't you help me to understand oohoohoohoohoohooh maybe i'm amazed at the way you're with me all the time maybe i'm afraid of the way leave you maybe i'm amazed at the way you help me sing my song right me when i'm wrong maybe i'm amazed at the way i really need you ;2;27;0
Meat City;  well i been meat city to see for myself been meat city been meat city just got to give me some rock 'n roll people were dancing like there's no tomorrow fingerlickin chickinpickin meat city shookdown usa pig meat city well i been the mountain to see for myself been the mountain been the mountain got to give me some rock 'n roll snake doctors shaking like there's no tomorrow chickkinsuckin mothertruckin freak city shookdown usa well i'm gonna china to see for myself gonna china gonna china just got to give me some rock 'n roll well the people were jumping like there's no tomorrow chickinsuckin mothertruckin meat city shookdown usa ;0;15;1
